1787899816.4,-0.30,10.91,153.0,0.69,0.74,0.76,1.46,0.40,1.21,1.16,0.47,0.33,0.26,0.32,0.39,0.30,0.35,0.27,0.40
1787899816.9,-0.30,10.91,151.1,0.69,0.74,0.75,1.46,0.40,1.22,1.17,0.45,0.34,0.27,0.30,0.39,0.31,0.35,0.27,0.39
1787899817.5,-0.30,10.91,148.6,0.68,0.74,0.74,1.46,0.41,1.22,1.15,0.47,0.32,0.27,0.30,0.40,0.29,0.34,0.26,0.40
1787899818.0,-0.30,10.91,147.5,0.68,0.73,0.76,1.44,0.41,1.24,1.16,0.47,0.34,0.24,0.31,0.35,0.28,0.37,0.27,0.39
1787899820.2,-0.00,10.49,123.3,0.39,0.59,0.94,0.90,0.44,0.57,1.40,1.02,0.29,0.17,0.12,0.10,0.11,0.25,0.39,0.37
1787899822.5,-0.00,10.49,138.8,0.56,0.95,0.89,0.41,0.48,0.98,3.00,0.30,0.20,0.14,0.10,0.12,0.18,0.35,0.34,0.42
1787899823.0,-0.12,10.62,138.3,0.54,0.95,0.90,0.41,0.46,0.98,2.99,0.31,0.19,0.12,0.09,0.12,0.18,0.38,0.34,0.41
1787899823.5,-0.15,10.65,139.3,0.46,0.87,0.81,0.34,0.45,0.71,2.99,0.41,0.27,0.17,0.16,0.20,0.32,0.35,0.33,0.33
1787899825.8,-0.15,10.65,152.9,0.81,0.79,1.42,0.41,0.66,2.78,0.66,0.35,0.19,0.15,0.17,0.27,0.36,0.29,0.36,0.46
1787899826.2,-0.31,10.74,149.8,0.80,0.81,1.43,0.44,0.63,2.79,0.67,0.37,0.20,0.15,0.17,0.27,0.36,0.31,0.33,0.43
1787899826.7,-0.34,10.76,148.9,0.48,0.78,0.80,0.31,0.44,1.47,1.14,0.48,0.31,0.23,0.27,0.35,0.30,0.32,0.28,0.38
1787899829.1,-0.34,10.76,168.3,0.81,0.78,1.44,0.42,0.82,1.91,0.46,0.32,0.22,0.24,0.32,0.37,0.30,0.28,0.34,0.45
1787899829.5,-0.52,10.81,163.4,0.81,0.78,1.45,0.42,0.79,1.92,0.46,0.31,0.23,0.24,0.31,0.36,0.30,0.30,0.35,0.42
1787899830.0,-0.56,10.82,166.6,0.72,0.68,1.32,0.26,0.44,2.99,0.74,0.46,0.32,0.32,0.42,0.29,0.36,0.24,0.32,0.38
1787899830.5,-0.56,10.82,165.8,0.75,0.66,1.32,0.27,0.45,3.00,0.77,0.47,0.31,0.34,0.39,0.28,0.34,0.23,0.34,0.39
1787899831.0,-0.56,10.82,162.4,0.72,0.67,1.30,0.27,0.44,3.00,0.74,0.44,0.31,0.34,0.38,0.30,0.32,0.24,0.32,0.36
1787899831.4,-0.56,10.82,167.0,0.72,0.64,1.32,0.28,0.45,3.00,0.74,0.45,0.29,0.33,0.40,0.28,0.33,0.24,0.33,0.37
1787899831.9,-0.56,10.82,167.3,0.73,0.64,1.31,0.26,0.44,3.00,0.75,0.45,0.30,0.33,0.40,0.29,0.35,0.25,0.32,0.36
1787899832.4,-0.56,10.82,167.3,0.71,0.67,1.31,0.26,0.45,2.98,0.74,0.46,0.31,0.35,0.39,0.30,0.35,0.25,0.30,0.36
1787899832.9,-0.56,10.82,160.9,0.72,0.67,1.31,0.26,0.47,3.00,0.74,0.46,0.33,0.34,0.40,0.29,0.34,0.24,0.33,0.37
1787899835.0,-0.07,11.02,199.8,1.46,0.47,0.76,2.98,0.41,0.21,0.12,0.13,0.15,0.24,0.34,0.27,0.34,0.44,0.86,0.81
1787899838.5,-0.08,11.03,161.0,0.91,0.85,0.39,0.49,0.86,3.00,0.39,0.19,0.12,0.12,0.19,0.26,0.34,0.30,0.34,0.47
1787899838.9,-0.25,11.08,162.1,0.90,0.85,0.38,0.48,0.87,3.00,0.38,0.22,0.12,0.09,0.18,0.27,0.32,0.32,0.35,0.47
1787899839.4,-0.46,11.16,159.4,0.82,0.77,1.41,0.42,0.70,3.00,0.45,0.30,0.19,0.21,0.28,0.34,0.27,0.34,0.29,0.43
1787899839.8,-0.50,11.17,161.1,0.75,0.66,1.34,0.29,0.46,3.00,0.78,0.46,0.29,0.29,0.36,0.33,0.29,0.23,0.31,0.35
1787899840.3,-0.50,11.17,157.4,0.73,0.68,1.35,0.31,0.46,3.00,0.79,0.46,0.29,0.28,0.37,0.35,0.30,0.25,0.31,0.35
1787899840.8,-0.50,11.17,161.8,0.77,0.65,1.34,0.29,0.47,3.00,0.79,0.48,0.28,0.29,0.36,0.34,0.30,0.26,0.31,0.36
1787899841.3,-0.50,11.17,158.5,0.78,0.67,1.35,0.26,0.46,3.00,0.79,0.45,0.27,0.28,0.35,0.34,0.31,0.24,0.29,0.35
1787899841.8,-0.50,11.17,161.6,0.75,0.69,1.34,0.29,0.45,3.00,0.77,0.45,0.27,0.30,0.36,0.32,0.30,0.24,0.31,0.35
1787899842.4,-0.50,11.17,160.4,0.75,0.69,1.32,0.29,0.46,3.00,0.77,0.47,0.29,0.31,0.35,0.36,0.30,0.25,0.30,0.35
1787899844.4,0.00,11.33,196.6,1.48,0.50,0.69,2.50,0.37,0.20,0.12,0.08,0.10,0.17,0.29,0.29,0.39,0.38,0.58,0.87
