1787896303.9,-0.11,1.88,271.2,3.00,0.74,0.45,0.30,0.28,0.35,0.46,0.96,1.48,0.35,0.28,0.18,0.20,0.20,0.34,0.59,tick=82342 goal=0
1787896304.2,-0.11,1.82,273.2,3.00,0.71,0.44,0.30,0.30,0.35,0.46,0.99,1.50,0.34,0.22,0.21,0.20,0.21,0.33,0.60,tick=82363 goal=0
1787896304.4,-0.10,1.76,272.3,2.99,0.71,0.44,0.30,0.28,0.33,0.47,0.79,1.50,0.38,0.22,0.21,0.20,0.26,0.34,0.59,tick=82384 goal=0
1787896304.6,-0.09,1.70,275.1,2.96,0.68,0.42,0.33,0.30,0.34,0.48,0.80,1.52,0.37,0.21,0.21,0.19,0.28,0.29,0.58,tick=82405 goal=0
1787896304.8,-0.09,1.64,275.1,2.95,0.70,0.40,0.33,0.28,0.31,0.50,0.81,1.54,0.38,0.26,0.19,0.19,0.30,0.28,0.69,tick=82426 goal=0
1787896305.0,-0.08,1.58,276.2,2.93,0.66,0.40,0.32,0.28,0.31,0.47,0.81,1.55,0.42,0.24,0.20,0.19,0.29,0.29,0.69,tick=82447 goal=0
1787896305.2,-0.08,1.52,273.5,2.94,0.66,0.39,0.35,0.28,0.30,0.50,0.84,1.60,0.41,0.25,0.19,0.21,0.27,0.27,0.68,tick=82468 goal=0
1787896305.4,-0.07,1.46,272.8,2.91,0.63,0.39,0.36,0.28,0.32,0.52,0.84,1.60,0.44,0.25,0.20,0.24,0.27,0.28,0.67,tick=82489 goal=0
1787896305.6,-0.07,1.40,273.9,2.89,0.62,0.37,0.36,0.28,0.32,0.48,0.85,1.64,0.47,0.26,0.20,0.24,0.26,0.25,0.64,tick=82510 goal=0
1787896305.9,-0.06,1.31,273.5,2.83,0.61,0.37,0.34,0.29,0.30,0.43,0.89,1.66,0.51,0.27,0.23,0.26,0.23,0.29,0.62,tick=82540 goal=0
1787896306.2,-0.05,1.22,272.4,2.79,0.61,0.36,0.34,0.30,0.28,0.43,0.90,1.67,0.50,0.26,0.26,0.25,0.22,0.34,0.60,tick=82571 goal=0
1787896306.5,-0.04,1.17,273.8,2.77,0.73,0.34,0.34,0.31,0.30,0.40,0.94,1.70,0.42,0.27,0.27,0.23,0.21,0.34,0.57,tick=82592 goal=0
1787896306.7,-0.04,1.11,273.4,2.77,0.72,0.36,0.31,0.32,0.31,0.39,0.94,1.75,0.40,0.26,0.28,0.23,0.20,0.33,0.57,tick=82613 goal=0
1787896306.9,-0.03,1.04,275.1,2.75,0.71,0.34,0.31,0.32,0.30,0.43,0.97,1.76,0.41,0.28,0.26,0.20,0.20,0.33,0.55,tick=82634 goal=0
1787896307.1,-0.03,0.98,277.4,2.72,0.68,0.37,0.29,0.33,0.32,0.41,0.97,1.80,0.44,0.30,0.29,0.20,0.22,0.34,0.54,tick=82655 goal=0
1787896307.3,-0.02,0.92,272.5,2.72,0.68,0.38,0.29,0.31,0.32,0.41,0.99,1.81,0.45,0.30,0.28,0.20,0.25,0.34,0.53,tick=82676 goal=0
1787896307.5,-0.02,0.86,271.5,2.69,0.67,0.38,0.27,0.31,0.35,0.39,0.87,1.81,0.45,0.32,0.26,0.18,0.25,0.31,0.52,tick=82697 goal=0
1787896307.7,-0.02,0.80,278.0,2.62,0.70,0.39,0.27,0.29,0.34,0.39,0.81,1.83,0.47,0.35,0.23,0.20,0.27,0.31,0.53,tick=82718 goal=0
1787896308.0,-0.01,0.73,267.4,2.64,0.69,0.40,0.27,0.29,0.36,0.41,0.82,1.86,0.46,0.34,0.20,0.19,0.25,0.35,0.65,tick=82739 goal=0
1787896308.3,-0.01,0.64,275.6,2.63,0.68,0.39,0.26,0.24,0.37,0.39,0.83,1.90,0.49,0.36,0.21,0.22,0.25,0.39,0.60,tick=82775 goal=0
1787896308.5,-0.00,0.58,270.3,2.57,0.64,0.38,0.27,0.26,0.34,0.41,0.84,1.91,0.49,0.39,0.21,0.25,0.26,0.38,0.62,tick=82796 goal=0
1787896308.7,0.00,0.52,277.2,2.58,0.65,0.38,0.28,0.27,0.33,0.43,0.88,1.95,0.47,0.36,0.22,0.23,0.23,0.36,0.61,tick=82817 goal=0
1787896308.9,0.01,0.46,275.9,2.55,0.64,0.35,0.29,0.25,0.33,0.42,0.88,1.98,0.48,0.30,0.24,0.24,0.23,0.36,0.63,tick=82837 goal=0
1787896309.1,0.01,0.40,273.6,2.50,0.62,0.31,0.30,0.25,0.31,0.44,0.87,1.99,0.49,0.27,0.23,0.22,0.25,0.35,0.60,tick=82858 goal=0
1787896309.3,0.01,0.34,273.7,2.50,0.62,0.30,0.31,0.26,0.27,0.44,0.87,1.98,0.50,0.25,0.24,0.23,0.27,0.34,0.61,tick=82879 goal=0
1787896309.5,0.02,0.28,272.3,2.46,0.61,0.32,0.31,0.25,0.26,0.45,0.90,2.03,0.50,0.28,0.26,0.23,0.30,0.31,0.60,tick=82900 goal=0
1787896309.7,0.02,0.22,274.0,2.45,0.59,0.43,0.28,0.26,0.26,0.45,0.89,2.04,0.52,0.27,0.26,0.21,0.31,0.29,0.58,tick=82921 goal=0
1787896310.0,0.03,0.16,278.0,2.45,0.58,0.41,0.28,0.28,0.26,0.45,0.90,2.08,0.54,0.29,0.28,0.22,0.28,0.26,0.74,tick=82943 goal=0
1787896310.2,0.03,0.10,272.7,2.42,0.57,0.40,0.26,0.27,0.28,0.47,0.91,2.10,0.55,0.31,0.24,0.24,0.30,0.27,0.74,tick=82964 goal=0
1787896310.4,0.04,0.04,274.4,2.37,0.57,0.41,0.24,0.29,0.27,0.45,0.76,2.11,0.57,0.32,0.25,0.28,0.27,0.28,0.71,tick=82985 goal=0
1787896310.6,0.04,-0.02,277.8,2.40,0.55,0.38,0.23,0.29,0.28,0.43,0.92,2.15,0.57,0.33,0.23,0.27,0.26,0.35,0.70,tick=83005 goal=0
1787896310.8,0.05,-0.08,273.1,2.37,0.56,0.37,0.26,0.29,0.28,0.39,0.77,2.15,0.61,0.33,0.22,0.28,0.22,0.35,0.70,tick=83026 goal=0
1787896311.0,0.06,-0.14,273.0,2.34,0.55,0.36,0.26,0.27,0.29,0.37,0.78,2.18,0.60,0.32,0.26,0.28,0.22,0.36,0.71,tick=83047 goal=0
1787896311.2,0.06,-0.20,274.1,2.32,0.57,0.35,0.31,0.25,0.29,0.36,0.78,2.20,0.64,0.33,0.27,0.26,0.22,0.35,0.71,tick=83068 goal=0
1787896311.5,0.07,-0.29,276.2,2.29,0.57,0.36,0.32,0.22,0.29,0.34,0.78,2.23,0.63,0.33,0.28,0.24,0.21,0.34,0.84,tick=83089 goal=0
1787896311.7,0.08,-0.34,273.9,2.25,0.59,0.37,0.30,0.21,0.30,0.38,0.81,2.25,0.47,0.32,0.28,0.22,0.25,0.34,0.85,tick=83118 goal=0
1787896311.9,0.09,-0.40,275.1,2.25,0.61,0.35,0.30,0.22,0.30,0.36,0.75,2.27,0.48,0.32,0.30,0.20,0.27,0.36,0.84,tick=83139 goal=0
