1787895929.6,0.06,0.71,193.1,0.14,0.19,0.23,0.49,2.10,0.73,0.41,0.37,0.36,0.32,0.46,0.85,2.35,0.47,0.28,0.14,tick=44869 goal=0,0,0,
1787895930.2,0.07,0.71,206.3,0.18,0.22,0.47,2.12,1.08,0.49,0.39,0.37,0.31,0.42,0.76,2.29,0.50,0.29,0.20,0.15,tick=44940 goal=0,0,0,
1787895931.0,0.07,0.71,220.5,0.21,0.27,0.81,1.86,0.64,0.39,0.35,0.34,0.39,0.49,1.52,0.94,0.31,0.27,0.12,0.15,tick=45003 goal=0,0,0,
1787895931.6,0.07,0.72,237.7,0.24,0.50,2.12,0.72,0.42,0.35,0.36,0.33,0.46,0.91,2.35,0.43,0.29,0.14,0.14,0.18,tick=45077 goal=0,0,0,
1787895932.2,0.07,0.72,250.8,0.46,2.13,1.06,0.49,0.36,0.36,0.30,0.41,0.74,2.28,0.52,0.30,0.21,0.13,0.17,0.20,tick=45140 goal=0,0,0,
1787895933.0,0.07,0.72,264.9,0.78,1.88,0.62,0.39,0.33,0.33,0.40,0.47,1.31,1.12,0.33,0.26,0.14,0.14,0.20,0.24,tick=45204 goal=0,0,0,
1787895933.6,0.07,0.72,281.5,2.11,0.70,0.40,0.38,0.36,0.32,0.45,0.88,2.34,0.47,0.29,0.14,0.13,0.19,0.23,0.50,tick=45277 goal=0,0,0,
1787895934.2,0.09,0.67,287.7,1.36,0.58,0.38,0.34,0.36,0.42,0.68,1.94,0.79,0.30,0.24,0.14,0.18,0.21,0.28,1.68,tick=45336 goal=0,0,0,
1787895934.8,0.12,0.61,298.5,0.79,0.43,0.35,0.34,0.31,0.42,0.80,2.34,0.50,0.31,0.16,0.14,0.21,0.24,0.47,2.13,tick=45394 goal=0,0,0,
1787895935.4,0.15,0.56,297.8,0.62,0.37,0.34,0.36,0.31,0.46,0.98,1.61,0.47,0.30,0.17,0.17,0.20,0.27,0.72,2.14,tick=45453 goal=0,0,0,
1787895936.0,0.19,0.51,307.6,0.55,0.34,0.30,0.35,0.33,0.48,1.59,1.01,0.38,0.21,0.20,0.22,0.21,0.42,1.07,1.34,tick=45513 goal=0,0,0,
1787895936.6,0.23,0.47,313.1,0.50,0.31,0.30,0.34,0.32,0.52,2.41,0.84,0.38,0.20,0.23,0.18,0.25,0.44,2.04,0.98,tick=45572 goal=0,0,0,
1787895937.4,0.30,0.41,318.7,0.37,0.29,0.28,0.33,0.33,0.78,2.47,0.60,0.38,0.23,0.24,0.21,0.42,0.66,2.02,0.67,tick=45640 goal=0,0,0,
1787895938.2,0.30,0.41,340.4,0.28,0.28,0.28,0.31,0.44,1.07,1.27,0.45,0.26,0.26,0.25,0.26,0.42,1.60,1.28,0.50,tick=45724 goal=0,0,0,
1787895938.8,0.30,0.41,348.2,0.28,0.26,0.32,0.31,0.84,2.47,0.60,0.40,0.23,0.24,0.24,0.41,0.93,2.06,0.54,0.33,tick=45797 goal=0,0,0,
1787895939.4,0.30,0.41,5.7,0.26,0.30,0.28,0.50,2.44,0.90,0.42,0.23,0.24,0.23,0.39,0.62,2.05,0.72,0.41,0.29,tick=45861 goal=0,0,0,
1787895940.1,0.30,0.41,18.0,0.27,0.33,0.28,1.00,1.31,0.46,0.25,0.24,0.25,0.26,0.43,1.63,1.31,0.52,0.28,0.26,tick=45924 goal=0,0,0,
1787895940.8,0.29,0.40,31.7,0.32,0.30,0.77,2.44,0.60,0.39,0.24,0.25,0.25,0.41,0.67,1.99,0.58,0.34,0.27,0.28,tick=45988 goal=0,0,0,
1787895941.4,0.29,0.40,43.4,0.32,0.49,2.08,0.90,0.42,0.26,0.25,0.24,0.31,0.59,2.04,0.72,0.45,0.34,0.28,0.30,tick=46059 goal=0,0,0,
1787895942.1,0.29,0.40,61.1,0.45,0.89,1.65,0.49,0.26,0.26,0.23,0.25,0.41,1.02,1.72,0.51,0.29,0.27,0.26,0.30,tick=46123 goal=0,0,0,
