R,0.667,-0.00,True
P,0,0.681,0.00,True
P,60,0.689,0.29,False
P,-60,0.697,0.00,True
R,0.698,-0.00,True
P,0,0.687,-0.00,True
P,60,0.679,0.18,True
P,-60,0.684,0.00,True
P,0,0.688,0.00,True
P,60,0.676,0.06,True
P,-60,0.681,0.00,True
P,0,0.7,0.29,False
P,60,0.697,0.00,True
P,-60,0.679,0.29,False
R,0.665,0.09,True
P,0,0.663,0.02,True
P,60,0.67,0.00,True
P,-60,0.641,0.29,False
R,0.663,0.27,True
P,0,0.652,0.04,True
P,60,0.658,0.00,True
P,-60,0.66,0.00,True
P,0,0.662,-0.00,True
P,60,0.653,0.05,True
P,-60,0.652,0.00,True
P,0,0.671,0.29,False
P,60,0.683,0.00,True
P,-60,0.671,0.29,False
R,0.664,0.30,False
R,0.649,0.15,True
P,0,0.643,-0.00,True
P,60,0.673,0.29,False
P,-60,0.678,0.00,True
R,0.66,0.16,True
P,0,0.65,0.02,True
P,60,0.679,0.29,False
P,-60,0.673,-0.00,True
R,0.671,0.05,True
P,0,0.671,0.02,True
P,60,0.677,0.29,False
P,-60,0.675,0.00,True
R,0.674,0.00,True
P,0,0.686,0.00,True
P,60,0.67,0.29,False
P,-60,0.675,-0.00,True
R,0.68,0.00,True
P,0,0.677,0.00,True
P,60,0.666,0.29,False
P,-60,0.666,0.00,True
R,0.656,0.07,True
P,0,0.655,0.03,True
P,60,0.635,0.29,False
P,-60,0.652,0.00,True
R,0.645,0.02,True
P,0,0.641,-0.00,True
P,60,0.635,0.29,False
P,-60,0.628,-0.00,True
R,0.614,0.12,True
P,0,0.616,0.00,True
P,60,0.619,0.16,True
P,-60,0.612,0.00,True
P,0,0.614,0.02,True
P,60,0.618,0.05,True
P,-60,0.602,0.02,True
P,0,0.606,0.01,True
P,60,0.617,0.01,True
P,-60,0.634,0.29,False
R,0.643,0.10,True
P,0,0.646,0.01,True
P,60,0.662,0.10,True
P,-60,0.682,0.29,False
R,0.67,0.14,True
P,0,0.653,-0.00,True
P,60,0.664,0.12,True
P,-60,0.633,0.27,True
P,0,0.625,0.00,True
P,60,0.661,0.29,False
P,-60,0.656,-0.00,True
R,0.672,0.00,True
P,0,0.676,-0.00,True
P,60,0.687,0.29,False
P,-60,0.692,0.00,True
R,0.692,0.00,True
P,0,0.705,0.00,True
P,60,0.736,0.29,False
P,-60,0.718,0.00,True
R,0.734,0.02,True
P,0,0.73,0.00,True
P,60,0.757,0.28,False
P,-60,0.76,0.00,True
R,0.765,0.00,True
P,0,0.752,0.00,True
P,60,0.773,0.29,False
P,-60,0.781,0.00,True
R,0.772,0.04,True
P,0,0.776,0.02,True
P,60,0.803,0.29,False
P,-60,0.794,0.00,True
R,0.807,0.03,True
P,0,0.791,0.03,True
P,60,0.814,0.25,True
P,-60,0.807,0.00,True
P,0,0.796,0.29,False
P,60,0.787,0.04,True
P,-60,0.802,0.12,True
R,0.807,0.00,True
P,0,0.805,0.00,True
P,60,0.788,0.29,False
P,-60,0.787,0.00,True
R,0.787,0.00,True
P,0,0.77,-0.00,True
P,60,0.754,0.29,False
P,-60,0.762,-0.00,True
R,0.76,0.00,True
P,0,0.766,-0.00,True
P,60,0.738,0.29,False
P,-60,0.73,0.00,True
R,0.742,0.00,True
P,0,0.739,-0.00,True
P,60,0.697,0.29,False
P,-60,0.695,0.00,True
R,0.701,-0.00,True
P,0,0.697,0.00,True
P,60,0.669,0.29,False
P,-60,0.669,0.00,True
R,0.672,0.31,False
R,0.677,0.31,False
R,0.659,0.31,False
R,0.657,0.31,False
P,0,0.592,0.29,False
R,0.581,0.02,True
P,0,0.559,0.00,True
P,60,0.508,0.00,True
P,0,0.481,0.18,True
P,60,0.495,0.23,True
P,-60,0.502,0.00,True
P,0,0.465,0.29,False
P,60,0.457,-0.00,True
P,-60,0.478,0.29,False
R,0.498,0.31,False
R,0.498,0.31,False
R,0.503,0.05,True
P,0,0.501,0.02,True
P,60,0.475,0.29,False
P,-60,0.48,0.00,True
R,0.478,0.00,True
P,0,0.482,-0.00,True
P,60,0.444,0.29,False
P,-60,0.458,-0.00,True
R,0.46,0.07,True
P,0,0.46,0.01,True
P,60,0.44,0.29,False
P,-60,0.429,0.00,True
R,0.432,0.08,True
P,0,0.432,0.04,True
P,60,0.429,0.00,True
P,-60,0.441,0.00,True
P,0,0.435,-0.00,True
P,60,0.418,0.10,True
P,-60,0.421,0.00,True
P,0,0.449,0.20,True
P,60,0.449,-0.00,True
P,-60,0.455,0.29,False
R,0.442,0.16,True
P,0,0.45,0.00,True
P,60,0.438,0.29,False
P,-60,0.441,-0.00,True
R,0.439,-0.00,True
P,0,0.439,-0.00,True
P,60,0.442,0.08,True
P,-60,0.444,-0.00,True
P,0,0.445,0.05,True
P,60,0.463,0.29,False
P,-60,0.455,0.00,True
R,0.463,0.20,True
P,0,0.458,0.00,True
P,60,0.48,0.29,False
P,-60,0.476,-0.00,True
R,0.481,0.12,True
P,0,0.475,0.00,True
P,60,0.489,0.28,False
P,-60,0.479,-0.00,True
R,0.48,0.00,True
P,0,0.485,0.00,True
P,60,0.485,0.29,False
P,-60,0.497,0.00,True
R,0.481,0.29,True
P,0,0.478,0.01,True
P,60,0.508,0.29,False
P,-60,0.492,0.00,True
R,0.489,0.07,True
P,0,0.488,0.01,True
P,60,0.5,0.29,False
P,-60,0.501,0.04,True
R,0.481,0.20,True
P,0,0.49,0.11,True
P,60,0.485,0.02,True
P,-60,0.488,0.00,True
P,0,0.479,0.29,False
P,60,0.477,0.00,True
P,-60,0.501,0.26,True
R,0.509,0.00,True
P,0,0.501,0.00,True
P,60,0.483,0.28,False
P,-60,0.499,0.00,True
R,0.494,0.00,True
P,0,0.5,-0.00,True
P,60,0.49,0.29,False
P,-60,0.495,0.00,True
R,0.486,-0.00,True
P,0,0.479,0.00,True
P,60,0.506,0.29,False
P,-60,0.496,0.00,True
R,0.495,0.00,True
P,0,0.505,0.01,True
P,60,0.495,0.29,False
P,-60,0.501,0.00,True
R,0.496,0.00,True
P,0,0.509,-0.00,True
P,60,0.503,0.29,False
P,-60,0.5,-0.00,True
R,0.544,0.32,False
P,0,0.559,0.29,False
P,60,0.56,0.06,True
P,-60,0.554,0.00,True
R,0.565,0.00,True
P,0,0.568,0.00,True
P,60,0.587,0.29,False
P,-60,0.579,0.00,True
R,0.59,0.01,True
P,0,0.578,-0.00,True
P,60,0.606,0.29,False
P,-60,0.62,0.00,True
R,0.698,0.28,True
P,0,0.695,0.00,True
P,60,0.692,0.29,False
P,-60,0.721,0.00,True
R,0.716,0.21,True
P,0,0.712,0.00,True
P,60,0.744,0.26,True
P,-60,0.748,0.00,True
P,0,0.737,-0.00,True
P,60,0.769,0.29,False
P,-60,0.769,-0.00,True
R,0.766,0.00,True
P,0,0.78,0.00,True
P,60,0.775,0.10,True
P,-60,0.766,-0.00,True
P,0,0.757,0.29,False
P,60,0.749,0.08,True
P,-60,0.72,0.30,False
R,0.701,0.00,True
P,0,0.686,0.00,True
P,60,0.704,0.00,True
P,-60,0.726,0.29,False
