# calib spin dh=48.29999999999998 sign=1
S,108496,58.8,-69794,0,0.620,0,0.75,1.11,2.22,0.27,0.20,0.17,0.14,0.15,0.34,0.91,0.90,0.71,0.45,0.40,0.37,0.51
S,108600,49.0,-69683,0,0.621,0,0.49,1.00,1.10,0.28,0.25,0.20,0.20,0.18,0.31,0.97,0.99,0.74,0.46,0.38,0.32,0.41
S,108701,49.3,-69613,0,0.618,0,0.45,0.95,1.09,0.49,0.26,0.21,0.22,0.20,0.37,1.03,0.98,0.73,0.44,0.34,0.31,0.41
S,108802,46.6,-69539,0,0.628,0,0.42,0.91,1.05,0.50,0.26,0.25,0.25,0.25,0.36,1.04,1.00,0.73,0.44,0.30,0.29,0.38
S,108904,49.7,-69473,0,0.611,0,0.39,0.87,1.04,0.50,0.28,0.27,0.28,0.28,0.45,1.06,1.01,0.62,0.38,0.28,0.30,0.34
S,109006,49.2,-69403,0,0.619,0,0.34,0.86,1.00,1.67,0.31,0.28,0.29,0.32,0.46,1.09,1.02,0.53,0.34,0.23,0.25,0.33
S,109107,50.2,-69343,0,0.607,0,0.30,0.81,0.98,1.69,0.44,0.29,0.29,0.34,0.52,1.12,1.03,0.48,0.28,0.23,0.27,0.29
S,109211,89.0,-69452,0,0.597,0,0.94,2.06,0.46,0.27,0.29,0.34,0.33,1.12,1.08,0.74,0.38,0.24,0.23,0.30,0.30,0.61
S,109309,94.7,-69368,0,0.607,0,0.92,1.61,0.41,0.23,0.30,0.35,0.39,1.15,1.07,0.52,0.26,0.25,0.27,0.27,0.47,0.79
S,109410,99.9,-69256,0,0.609,0,0.87,1.61,0.39,0.25,0.24,0.34,0.38,1.24,1.14,0.57,0.29,0.28,0.30,0.24,0.45,0.73
S,109510,93.6,-69143,0,0.606,0,0.81,1.69,0.34,0.31,0.24,0.31,0.42,1.30,1.21,0.57,0.33,0.31,0.22,0.26,0.43,0.70
S,109613,92.4,-69023,0,0.620,0,0.76,1.63,0.32,0.32,0.25,0.28,0.46,1.35,1.26,0.60,0.35,0.27,0.22,0.32,0.42,0.78
S,109717,94.8,-68915,0,0.616,0,0.68,1.56,1.00,0.26,0.29,0.26,-1.00,1.39,1.29,0.50,0.39,0.23,0.29,0.35,0.39,0.69
S,109818,96.9,-68799,0,0.627,0,0.63,1.53,0.99,0.26,0.28,0.28,0.42,1.43,1.35,0.53,0.40,0.24,0.31,0.34,0.51,0.65
