1789579562.2 A PING 0.0 0.0 270 n=0
1789580167.9 POSE x=-0.71 y=-0.49 d11=0.357 d3=tick=411101 goal=0 here=0
1789580171.3 POSE x=-0.76 y=-0.53 d11=0.338 d3=tick=411445 goal=0 here=0
1789580174.6 POSE x=-0.81 y=-0.56 d11=0.358 d3=tick=411771 goal=0 here=0
1789580177.4 POSE x=-0.80 y=-0.55 d11=0.362 d3=tick=412050 goal=0 here=0
1789580180.4 POSE x=-0.82 y=-0.57 d11=0.357 d3=tick=412356 goal=0 here=0
1789580183.6 POSE x=-0.87 y=-0.61 d11=0.338 d3=tick=412674 goal=0 here=0
1789580186.8 POSE x=-0.92 y=-0.64 d11=0.322 d3=tick=412999 goal=0 here=0
1789580189.7 POSE x=-0.97 y=-0.67 d11=0.294 d3=tick=413278 goal=0 here=0
1789580192.7 POSE x=-1.02 y=-0.71 d11=0.291 d3=tick=413579 goal=0 here=0
1789580195.6 POSE x=-1.02 y=-0.71 d11=0.316 d3=tick=413875 goal=0 here=0
1789580198.8 POSE x=-1.04 y=-0.72 d11=0.323 d3=tick=414190 goal=0 here=0
1789580201.6 POSE x=-1.09 y=-0.75 d11=0.312 d3=tick=414477 goal=0 here=0
1789580205.1 POSE x=-1.15 y=-0.79 d11=0.288 d3=tick=414819 goal=0 here=0
1789580207.7 POSE x=-1.19 y=-0.82 d11=0.302 d3=tick=415086 goal=0 here=0
1789580211.1 POSE x=-1.24 y=-0.86 d11=0.327 d3=tick=415424 goal=0 here=0
1789580214.6 POSE x=-1.22 y=-0.85 d11=0.338 d3=tick=415772 goal=0 here=0
1789580219.0 POSE x=-1.29 y=-0.89 d11=0.323 d3=tick=416209 goal=0 here=0
1789580222.2 POSE x=-1.34 y=-0.93 d11=0.301 d3=tick=416538 goal=0 here=0
1789580225.1 POSE x=-1.39 y=-0.96 d11=0.296 d3=tick=416827 goal=0 here=0
1789580229.2 POSE x=-1.46 y=-1.01 d11=0.305 d3=tick=417229 goal=0 here=0
1789580232.3 POSE x=-1.47 y=-1.02 d11=0.340 d3=tick=417548 goal=0 here=0
1789580235.3 POSE x=-1.47 y=-1.02 d11=0.354 d3=tick=417847 goal=0 here=0
1789580238.7 POSE x=-1.53 y=-1.06 d11=0.351 d3=tick=418180 goal=0 here=0
1789580242.0 POSE x=-1.58 y=-1.09 d11=0.357 d3=tick=418511 goal=0 here=0
1789580245.6 POSE x=-1.64 y=-1.13 d11=0.379 d3=tick=418878 goal=0 here=0
1789580248.8 POSE x=-1.69 y=-1.17 d11=0.386 d3=tick=419190 goal=0 here=0
1789580251.7 POSE x=-1.70 y=-1.18 d11=0.401 d3=tick=419479 goal=0 here=0
1789580255.2 POSE x=-1.71 y=-1.18 d11=0.422 d3=tick=419840 goal=0 here=0
1789580259.2 POSE x=-1.77 y=-1.23 d11=0.411 d3=tick=420228 goal=0 here=0
1789580262.1 POSE x=-1.82 y=-1.26 d11=0.396 d3=tick=420527 goal=0 here=0
1789580265.3 POSE x=-1.87 y=-1.30 d11=0.383 d3=tick=420838 goal=0 here=0
1789580268.7 POSE x=-1.93 y=-1.33 d11=0.380 d3=tick=421186 goal=0 here=0
1789580271.6 POSE x=-1.98 y=-1.37 d11=0.355 d3=tick=421477 goal=0 here=0
1789580274.7 POSE x=-2.03 y=-1.40 d11=0.344 d3=tick=421784 goal=0 here=0
1789580277.3 POSE x=-2.07 y=-1.43 d11=0.347 d3=tick=422046 goal=0 here=0
1789580279.8 POSE x=-2.11 y=-1.46 d11=0.349 d3=tick=422297 goal=0 here=0
1789580282.8 POSE x=-2.16 y=-1.49 d11=0.357 d3=tick=422599 goal=0 here=0
1789580286.0 POSE x=-2.21 y=-1.53 d11=0.364 d3=tick=422913 goal=0 here=0
1789580288.8 POSE x=-2.25 y=-1.56 d11=0.353 d3=tick=423194 goal=0 here=0
1789580291.9 POSE x=-2.29 y=-1.59 d11=0.377 d3=tick=423503 goal=0 here=0
1789580294.7 POSE x=-2.28 y=-1.58 d11=0.388 d3=tick=423781 goal=0 here=0
