12.32,477276,-4.265,-0.741,355.1,144.0,1.039,-0.531,0,30.879999999999995,COAST,1.23,0.60,0.46,0.80
12.51,477306,-4.081,-0.761,354.9,144.3,0.949,0.078,92,12.240000000000002,RUN,1.26,0.59,0.47,0.95
12.70,477322,-3.896,-0.774,356.4,146.1,0.987,0.052,91.985,5.734166666666665,RUN,1.14,0.57,0.48,0.95
12.90,477322,-3.697,-0.785,356.8,149.6,1.052,-0.118,0,-3.6875000000000036,COAST,1.01,0.52,0.53,0.95
13.10,477372,-3.494,-0.804,350.9,141.0,0.997,-1.355,0,33.295,COAST,1.17,0.48,0.56,0.62
13.31,477377,-3.303,-0.832,351.2,139.6,0.927,-0.178,92,5.086666666666664,RUN,1.22,0.52,0.53,0.95
13.49,477408,-3.126,-0.858,351.5,142.7,0.995,0.042,91.625,0.780833333333329,RUN,1.21,0.52,0.52,0.95
13.69,477431,-2.930,-0.886,352.2,139.1,1.064,0.064,0,4.8824999999999985,COAST,1.27,0.55,0.50,0.95
13.88,477441,-2.724,-0.912,353.2,141.4,1.051,0.061,0,4.494166666666654,COAST,1.52,0.55,0.50,0.95
14.08,477471,-2.528,-0.934,353.7,144.4,1.016,-0.014,90.68,1.423333333333331,RUN,1.29,0.55,0.53,0.95
14.27,477476,-2.324,-0.962,350.3,138.7,1.066,-0.353,0,-18.481666666666662,COAST,1.21,0.61,0.58,0.95
14.46,477497,-2.140,-1.003,344.5,131.6,1.033,-1.307,0,-33.054999999999986,COAST,1.05,0.70,0.95,0.62
14.66,477530,-1.956,-1.073,336.5,107.6,0.951,-0.779,0,-32.62083333333332,COAST,0.89,0.75,0.83,0.62
