-1.93 7.56 4.1 | -1.45,7.60 -1.60,7.45 -1.69,7.36 -1.80,7.30 -1.91,7.30 -2.05,7.20 -2.28,7.16 -2.88,7.09 -3.02,7.48 -3.12,7.96 -2.60,8.14 -2.27,8.24 -1.98,8.36 -1.64,8.42 -0.96,8.68 -1.54,7.75
-1.97 7.54 24.3 | -1.51,7.75 -1.65,7.42 -1.76,7.35 -1.86,7.29 -1.96,7.16 -2.16,7.05 -2.68,6.78 -2.90,7.12 -3.21,7.50 -2.80,7.86 -2.49,8.04 -2.30,8.28 -2.00,8.45 -1.44,8.95 -1.66,7.87
-2.01 7.53 23.2 | -1.52,7.74 -1.65,7.53 -1.71,7.41 -1.81,7.33 -1.88,7.22 -2.00,7.18 -2.32,6.74 -2.75,6.77 -2.63,7.26 -3.03,7.51 -2.77,7.83 -2.29,7.80 -2.31,8.24 -2.02,8.57 -1.82,8.00 -1.65,7.90
-2.01 7.52 45.2 | -1.75,7.79 -1.67,7.67 -1.72,7.52 -1.74,7.41 -1.75,7.26 -1.78,6.97 -2.01,6.51 -2.28,6.88 -2.78,6.75 -2.80,7.20 -2.72,7.52 -2.75,7.83 -2.23,8.03 -2.01,8.02 -1.81,8.01
-1.99 7.55 60.3 | -1.82,7.86 -1.76,7.73 -1.74,7.63 -1.63,7.51 -1.57,7.31 -1.34,6.71 -1.72,6.55 -2.16,6.27 -2.44,6.77 -2.59,7.09 -2.76,7.35 -2.88,7.67 -3.18,8.23 -2.27,7.91 -2.13,8.06 -1.95,7.92
-2.03 7.50 54.7 | -1.81,7.81 -1.75,7.68 -1.74,7.55 -1.67,7.42 -1.59,7.19 -1.49,6.64 -1.86,6.50 -2.06,7.39 -2.52,6.81 -2.64,7.12 -2.32,7.45 -2.84,7.68 -3.11,8.26 -2.29,7.90 -2.13,8.05 -1.94,7.92
-2.11 7.41 49.3 | -1.80,7.77 -1.74,7.60 -1.77,7.44 -1.74,7.29 -1.70,7.06 -1.69,6.58 -2.04,6.45 -2.60,5.94 -2.72,6.71 -2.76,7.09 -2.73,7.37 -2.38,7.50 -2.81,8.02 -2.85,8.88 -2.15,7.95 -1.92,7.99
-2.10 7.46 65.1 | -1.93,7.81 -1.86,7.67 -1.73,7.60 -1.61,7.44 -1.30,7.09 -1.42,6.73 -1.92,6.99 -2.14,6.48 -2.42,6.75 -2.58,7.01 -2.82,7.20 -3.11,7.50 -3.62,8.17 -2.46,7.86 -2.29,7.99 -2.08,7.91
-2.09 7.46 66.1 | -1.93,7.83 -1.85,7.69 -1.72,7.61 -1.61,7.45 -1.32,7.12 -1.41,6.75 -1.88,6.90 -2.12,6.50 -2.41,6.75 -2.57,7.01 -2.37,7.36 -3.00,7.49 -3.55,8.11 -2.44,7.82 -2.30,8.01 -2.08,7.92
-2.10 7.42 78.1 | -2.02,7.82 -1.90,7.72 -1.76,7.64 -1.55,7.52 -1.14,7.21 -1.32,6.88 -1.34,6.24 -1.96,6.64 -2.25,6.73 -2.47,6.89 -2.29,7.30 -3.09,7.23 -2.68,7.54 -2.56,7.73 -2.44,7.93 -2.19,7.89
-2.10 7.47 88.1 | -2.09,7.80 -1.94,7.82 -1.83,7.72 -1.35,7.75 -1.13,7.44 -1.53,7.21 -1.42,6.73 -1.83,6.74 -2.12,6.81 -2.23,7.19 -2.73,6.88 -3.53,6.93 -2.62,7.49 -2.65,7.72 -2.42,7.80 -2.25,7.87
-2.10 7.48 85.6 | -2.08,7.81 -1.93,7.83 -1.80,7.74 -1.33,7.73 -1.13,7.41 -1.54,7.20 -1.45,6.73 -1.86,6.73 -2.15,6.81 -2.24,7.20 -3.59,6.99 -2.61,7.52 -2.62,7.75 -2.39,7.81 -2.22,7.85
-2.12 7.55 103.3 | -2.18,7.83 -2.07,7.85 -1.85,7.98 -1.33,8.12 -1.16,7.77 -0.83,7.34 -1.38,7.09 -1.66,6.92 -2.03,7.18 -2.25,6.72 -2.83,6.39 -2.54,7.24 -2.69,7.41 -2.53,7.61 -2.43,7.74 -2.28,7.78
-2.12 7.54 112.3 | -2.11,7.90 -1.80,8.31 -1.41,8.24 -1.51,7.79 -1.10,7.54 -1.36,7.23 -1.63,7.05 -1.81,6.81 -2.12,6.51 -2.36,6.97 -2.51,7.15 -2.63,7.33 -2.51,7.55 -2.43,7.67 -2.32,7.75
-2.11 7.52 112.3 | -2.25,7.86 -2.11,7.93 -1.78,8.31 -1.39,8.23 -1.50,7.77 -1.10,7.52 -1.35,7.21 -1.62,7.03 -1.81,6.81 -2.11,6.49 -2.34,6.96 -2.50,7.13 -2.62,7.31 -2.52,7.52 -2.43,7.66 -2.32,7.74
-2.07 7.44 115.0 | -2.24,7.81 -2.09,7.98 -1.74,8.35 -1.38,8.19 -0.71,8.07 -1.21,7.48 -1.38,7.19 -1.83,7.22 -1.77,6.79 -2.03,6.46 -2.26,6.92 -2.40,7.08 -2.58,7.20 -2.49,7.42 -2.46,7.58 -2.32,7.67
-2.08 7.48 103.0 | -2.16,7.82 -2.02,7.84 -1.77,7.98 -1.28,8.05 -1.43,7.63 -0.95,7.29 -1.40,7.06 -1.69,6.93 -2.01,7.19 -2.22,6.66 -2.77,6.37 -2.49,7.19 -2.63,7.36 -2.52,7.56 -2.44,7.71 -2.28,7.76
-2.09 7.54 105.8 | -2.19,7.87 -2.06,7.87 -1.74,8.17 -1.34,8.14 -1.46,7.72 -1.06,7.42 -1.36,7.13 -1.66,6.98 -1.87,6.75 -2.21,6.56 -2.39,7.01 -2.52,7.20 -2.62,7.39 -2.48,7.58 -2.40,7.71 -2.25,7.74
-2.11 7.58 115.1 | -2.25,7.88 -2.13,7.89 -1.85,8.30 -1.46,8.29 -1.51,7.86 -1.09,7.62 -1.32,7.29 -1.58,7.09 -1.76,6.83 -2.06,6.51 -2.32,7.01 -2.49,7.16 -2.64,7.33 -2.49,7.56 -2.42,7.69 -2.30,7.75
