17.5,0.14,0.11,198.4,0.35,0.33,0.48,0.41,0.42,0.55,0.89,1.20,0.18,0.20,0.21,0.55,0.66,0.81,1.28,0.28,0,0
17.7,0.14,0.11,189.5,0.35,0.33,0.48,0.44,0.41,0.50,0.83,1.19,0.21,0.21,0.25,0.56,0.66,0.72,1.16,0.31,0,0
17.9,0.13,0.11,179.7,0.28,0.36,0.47,0.47,0.37,0.43,0.57,1.16,0.42,0.19,0.21,0.47,0.56,0.67,0.83,1.42,0,0
18.1,0.14,0.11,189.0,0.29,-1.00,0.48,0.46,0.38,0.44,0.60,1.23,0.38,0.20,0.20,0.52,0.55,0.69,0.96,1.39,0,0
18.2,0.14,0.11,192.6,0.34,0.33,0.49,0.43,0.39,0.54,0.83,1.17,0.21,0.21,0.23,0.56,0.64,0.71,1.14,0.33,0,0
18.4,0.14,0.11,190.4,0.32,0.35,0.51,0.45,0.39,0.48,0.77,1.18,0.36,0.21,0.22,0.59,0.61,0.70,1.03,0.33,0,0
18.5,0.14,0.11,183.3,0.28,0.36,0.46,0.46,0.37,0.46,0.56,1.13,0.41,0.20,0.21,0.48,0.53,0.67,0.83,1.44,0,0
18.7,0.14,0.11,184.4,0.30,-1.00,0.50,0.46,0.39,0.45,0.62,1.23,0.40,0.21,0.21,0.53,0.56,0.70,0.97,1.41,0,0
18.9,0.14,0.11,192.2,0.36,0.34,0.47,0.41,0.42,0.54,0.89,1.21,0.19,0.20,0.24,0.56,0.66,0.81,1.28,0.29,0,0
19.0,0.14,0.11,195.9,0.34,0.35,0.46,0.44,0.39,0.52,0.83,1.19,0.20,0.22,0.22,0.56,0.64,0.72,1.21,0.31,0,0
19.2,0.14,0.11,181.5,0.29,0.33,0.50,0.47,0.37,0.44,0.62,1.24,0.39,0.18,0.23,0.51,0.57,0.67,0.98,1.41,0,0
19.3,0.14,0.11,189.9,0.30,0.34,0.51,0.44,0.39,0.47,0.79,1.19,0.38,0.20,0.22,0.59,0.59,0.70,0.98,0.32,0,0
19.5,0.14,0.11,185.7,0.30,0.36,0.49,0.45,0.36,0.46,0.61,1.25,0.38,0.18,0.21,0.50,0.55,0.69,0.97,1.40,0,0
19.6,0.14,0.11,187.2,0.31,0.34,0.51,0.46,0.37,0.49,0.77,1.21,0.38,0.20,0.23,0.57,0.60,0.68,0.99,0.30,0,0
19.8,0.14,0.11,184.2,0.28,0.36,0.50,0.47,0.37,0.44,0.63,1.25,0.39,0.20,0.21,0.49,0.56,0.69,0.95,1.40,0,0
20.0,0.14,0.11,184.2,0.28,0.34,0.49,0.46,0.37,0.45,0.59,1.25,0.41,0.20,0.21,0.51,0.56,0.70,0.96,1.41,0,0
20.2,0.14,0.11,195.1,0.35,0.34,0.47,0.42,0.40,0.51,0.88,1.20,0.17,0.22,0.24,0.56,0.67,0.79,1.29,0.29,0,0
20.3,0.14,0.11,190.5,0.36,0.33,0.49,0.42,0.41,0.52,0.82,1.17,0.23,0.21,0.24,0.57,0.66,0.72,1.18,0.30,0,0
20.5,0.14,0.11,185.1,0.29,0.36,0.46,0.48,0.38,0.44,0.62,1.25,0.40,0.20,0.21,0.48,0.55,0.69,0.98,1.40,0,0
20.6,0.14,0.11,188.6,0.32,0.34,0.49,0.46,0.37,0.46,0.75,1.21,0.37,0.21,0.21,0.58,0.59,0.71,0.99,1.38,0,0
20.8,0.14,0.11,191.4,0.34,0.35,0.47,0.42,0.41,-1.00,0.88,1.19,0.19,0.19,0.22,0.57,0.66,0.81,1.27,0.27,0,0
20.9,0.14,0.11,190.7,0.35,0.33,0.47,0.43,0.39,0.53,0.83,1.19,0.22,0.20,0.22,0.55,0.65,0.73,1.17,0.29,0,0
21.1,0.14,0.11,187.4,0.28,0.36,0.49,0.46,0.38,0.45,0.59,1.26,0.38,0.21,0.22,0.50,0.54,0.69,0.96,1.40,0,0
21.2,0.14,0.11,190.0,0.31,0.33,0.50,0.45,0.38,0.47,0.77,1.20,0.38,0.19,0.21,0.59,0.58,0.69,1.00,0.31,0,0
21.4,0.14,0.11,186.5,0.28,0.34,0.49,0.47,0.39,0.45,0.60,1.26,0.40,0.19,0.23,0.51,0.55,0.68,-1.00,-1.00,0,0
21.5,0.14,0.11,186.2,0.31,0.34,0.51,0.46,0.39,0.49,0.74,1.19,0.37,0.21,0.22,0.57,0.59,0.69,0.99,0.33,0,0
21.7,0.14,0.11,188.3,-1.00,0.35,0.49,0.46,0.38,0.44,0.60,1.25,0.41,0.20,0.23,0.53,0.54,0.68,0.97,1.40,0,0
21.8,0.14,0.11,189.1,0.30,0.35,0.49,0.47,0.38,0.48,0.75,1.20,0.38,0.21,0.23,0.57,0.58,0.69,0.98,0.32,0,0
22.0,0.14,0.11,182.8,0.28,0.34,0.49,0.46,0.37,0.43,0.58,1.25,0.40,0.18,0.22,0.52,0.56,0.69,0.97,1.39,0,0
22.1,0.14,0.11,185.7,0.33,0.35,0.50,0.45,0.37,0.46,0.76,1.19,0.39,0.19,0.23,0.57,0.58,0.68,1.00,0.32,0,0
22.3,0.14,0.11,184.3,0.29,0.35,0.48,0.46,0.38,0.43,0.60,1.27,0.40,0.23,0.22,0.52,0.57,0.68,0.96,1.40,0,0
22.4,0.14,0.11,190.6,0.31,0.32,0.52,0.44,0.39,0.49,0.77,1.20,0.37,0.21,0.21,0.58,0.60,0.69,0.99,0.32,0,0
22.6,0.14,0.11,183.4,0.26,0.33,0.48,0.47,0.37,0.44,0.61,1.24,0.40,0.20,0.22,0.51,0.57,0.69,0.95,1.39,0,0
22.7,0.14,0.11,188.5,0.31,0.34,0.50,0.45,0.39,0.46,0.74,1.21,0.40,0.19,0.22,0.57,0.59,0.70,0.99,0.31,0,0
22.9,0.14,0.11,186.4,0.27,0.34,0.47,0.45,0.38,0.45,0.62,1.24,0.39,0.20,0.23,0.49,0.56,0.69,0.96,1.39,0,0
23.0,0.14,0.11,190.8,0.29,0.34,0.49,0.44,0.38,0.46,0.76,1.19,0.40,0.20,0.24,0.59,0.60,0.70,0.99,0.30,0,0
23.2,0.14,0.11,181.9,0.27,0.35,-1.00,0.47,0.38,0.46,0.61,1.25,0.39,0.19,0.20,0.52,0.56,0.69,0.94,1.41,0,0
23.3,0.14,0.11,187.8,0.30,0.33,0.51,0.46,0.37,0.47,0.76,1.21,0.37,0.18,0.22,0.58,0.58,0.69,1.00,0.31,0,0
23.5,0.14,0.11,182.5,0.28,0.33,0.49,0.46,0.37,0.45,0.60,1.25,0.39,0.21,0.23,0.51,0.54,0.67,0.96,1.41,0,0
23.6,0.14,0.11,186.6,0.30,0.33,0.48,0.47,0.38,0.47,0.76,1.18,0.38,0.21,0.21,0.59,0.59,0.69,0.99,0.32,0,0
23.8,0.14,0.11,184.2,0.30,0.35,0.50,0.46,0.38,0.45,0.61,1.25,0.40,0.20,0.22,0.52,0.55,0.69,0.96,1.38,0,0
23.9,0.14,0.11,188.3,0.31,0.33,0.51,0.45,0.40,0.47,0.75,1.21,0.37,0.21,0.21,0.57,0.59,0.71,0.97,0.31,0,0
24.1,0.14,0.11,185.4,0.28,0.35,0.49,0.45,0.39,0.47,0.60,1.21,0.39,0.19,0.23,0.52,0.56,0.69,0.96,1.39,0,0
24.2,0.14,0.11,187.5,0.31,0.34,0.50,0.46,0.38,0.48,0.76,1.19,0.38,0.20,0.23,0.58,0.58,0.69,1.00,0.31,0,0
24.4,0.14,0.11,183.5,0.29,0.35,0.49,0.46,0.36,0.44,0.60,1.25,0.40,0.19,0.22,0.50,0.57,0.68,0.96,1.41,0,0
24.5,0.14,0.11,188.0,0.32,0.35,0.53,0.46,0.39,0.47,0.75,1.20,0.39,0.22,0.20,0.59,0.60,0.70,1.00,0.31,0,0
